SN,District,Municipality,Ward Number,Town/Village Name,Tole,Latitude,Longitude,Source Name,Source Type,Ownership,Surrounding Environment (Landuse),Plant Species around Water Source,Source Condition,Perennial / Seasonal,Dried since how many years?,Reason of drying,"After this source dried up , was there any activity for revival done in this source?",List the activities done for source revival,What was done after source was dried up?,Source Condition,Nature of discharge,Water emergence point,"Volume of bucket /bottle (1, 2, 5, 10 or 20 litre)",Time to fill (seconds),Approx. distance from the nearest dependent household (metre),One-way water fetching time (minutes),How much time did it take to fill the Jar of 20 liter before 10 yr? (minutes),Current time to fill 20 liter jar (minutes),Trend of spring discharge,Pond area (square metre),Pond depth (metre),Pond area 10 years earlier (square metre),Pond depth10 years earlier (metre),Perception on source water quality,Perception on source water quality change,Is this source in use?,Purpose of use,No. of households dependent on this source,Ethnicity of users,No. of households dependent on this source only,Ethnicity of users dependent on this source only,Any impact due to 2015 earthquake?,Is this source tapped?,Supplied to same Municipality or different?,Supplied to same ward or different wards?,Is water source significant for cultural/religious purpose?,List the events associated with sources,Is this source accessible to everyone in community? (in term of use access),If not who are restricted?,Are there water user groups for management?,User group type,Who is the chairperson?,Women in leadership position,Any spring revival / pond protection measures taken?,What measures have been taken?,Remarks (source specific comment)
2952,Kavrepalanchowk,Temal,1,Sarsyukharka ,Sahutole,27.56974,85.7088533333333,Sahuko dharo ,spring,community,sparse_forest,"uniu, sisnu,banmara",active,perennial,,,,,,open_kuwa,flowing,soil/sediment,10,180,400,15,2,6,decreasing,,,,,excellent,improved,yes,"drinking,agriculture,household,livestock",20,"BCTS,Janajati",7,"Janajati,BCTS",no_change,yes,same,same,no,,yes,,no,,,,no,,
2953,Kavrepalanchowk,Temal,1,Sarsyunkharka ,Majuwa,27.5699366666667,85.7088783333333,pokharipani khanepani,spring,community,sparse_forest,"Mauwa, Banmara,chilaune",active,perennial,,,,,,open_kuwa,flowing,soil/sediment,5,300,600,25,2,16,decreasing,,,,,excellent,improved,yes,"drinking,household,livestock",20,"BCTS,Janajati",7,"BCTS,Janajati",Improved,yes,same,same,no,,yes,,yes,formal,male,treasurer,yes,"plantation,source_protection",
2954,Kavrepalanchowk,Temal,6,Bibire kaichal,Bibire khola tool,27.5079012734463,85.7703059430533,Bibire kaichal bot mul,spring,private,dense_forest,"Utis, kutmera,pitholi",active,perennial,,,,,,open_kuwa,seepage,rock,1,15,1100,120,30,5,decreasing,,,,,excellent,no_change,yes,"drinking,household,livestock",40,Mixed,40,Mixed,Degraded,yes,same,same,no,,yes,,no,,,,no,,
2955,Kavrepalanchowk,Temal,9,duitar,doitar,27.4609983333333,85.8041683333333,sawane khola,spring,community,sparse_forest,"khayar, pithauli,ghadi",dried,seasonal,2045,Drought,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2956,Kavrepalanchowk,Temal,3,Saramthali,Saramthali,27.5505116666667,85.7441966666667,Saramthali khanepani,spring,public,sparse_forest,"Siris,sallha,fadim",active,perennial,,,,,,cemented_tank,seepage,soil/sediment,1,10,50,5,3,4,decreasing,,,,,good,improved,yes,drinking,28,Janajati,28,Janajati,Degraded,yes,same,same,no,,yes,,no,,,,yes,source_protection,
2957,Kavrepalanchowk,Temal,1,Sarsyunkharka ,Pokharipani,27.5703766666667,85.7106416666666,Kali kuwa ,spring,community,settlement,"Pipal, banmara,pithauli",dried,perennial,2066,Infrastructure Development,no,,"new_source_identification,water_lifting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2958,Kavrepalanchowk,Temal,9,doitar,magartol,27.4461183333333,85.7974916666667,lakune kuwa,spring,public,sparse_forest,"aap,durseli,pithauli",active,perennial,,,,,,cemented_tank,seepage,soil/sediment,1,240,900,1,2,80,decreasing,,,,,good,improved,yes,"drinking,household,livestock",24,Janajati,24,Janajati,Degraded,no,,,no,,yes,,no,,,,no,,xaina
2959,Kavrepalanchowk,Temal,6,Bibire khola -d,Bibire,27.5077820047765,85.7719531316658,Bibire-d mul,spring,public,dense_forest,"chuttra,aaiselu,mauwa",active,perennial,,,,,,closed_kuwa,flowing,interface between rock and sediment,1,10,1300,120,15,3,decreasing,,,,,good,improved,yes,"drinking,household,livestock",60,"Janajati,BCTS",60,"Janajati,BCTS",Degraded,yes,same,same,no,,yes,,no,,,,yes,recharge_pond_construction,
2960,Kavrepalanchowk,Temal,4,maure banjyang,gonpo thola,27.53482181,85.7620246,bodeko ko kuwa,spring,community,agriculture,sirisa banamra ghass,active,seasonal,,,,,,open_kuwa,seepage,interface between rock and sediment,1,40,200,30,3,13,decreasing,,,,,poor,degraded,yes,"drinking,household,livestock",20,janajati,0,,Degraded,yes,same,same,no,,yes,,yes,,,,yes,plantation,
2961,Kavrepalanchowk,Temal,9,doitar,magartol,27.4466633333333,85.7981183333333,khaire mul,spring,community,sparse_forest,"aap,barra,khirra",dried,perennial,2072,Earthquake,yes,source_protection,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2962,Kavrepalanchowk,Temal,4,maure banjyang,gonpo thola,27.53566319,85.7617227,woti thola kuwa,spring,community,dense_forest,bahsa.dudilo.ghass,active,perennial,,,,,,open_kuwa,seepage,interface between rock and sediment,1,40,170,20,3,13,decreasing,,,,,poor,degraded,yes,"drinking,household,livestock",5,janajati,0,,Improved,yes,same,same,no,,yes,,yes,,,,yes,"source_protection,plantation",
2963,Kavrepalanchowk,Temal,1,sarsyukhark,badal tol,27.5694916666667,85.7013133333333,bas ghari,spring,community,sparse_forest,"bas,uniu ningro",dried,perennial,2076,Infrastructure Development,no,,"new_source_identification,rainwater_harvesting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2964,Kavrepalanchowk,Temal,3,Saramthali,Jimsesha,27.548355,85.7413233333333,jimsesha,spring,private,sparse_forest,"Khirla,tini,kimila",dried,perennial,2072,Earthquake,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2965,Kavrepalanchowk,Temal,8,bhorjayng,manetol,27.47238036,85.75135515,bitta,spring,community,agriculture,bar pipal bas,active,perennial,,,,,,tap,flowing,interface between rock and sediment,1,25,2000,1,7,8,decreasing,,,,,poor,degraded,no,,,,,,Degraded,no,,,no,,yes,,no,,,,no,,sudharnuparne
2966,Kavrepalanchowk,Temal,8,bhorjayng,besitol,27.46915957,85.75782264,sisapakhara,spring,community,sparse_forest,pithauli pipal  amba,dried,seasonal,2072,Earthquake,no,,"new_source_identification,rainwater_harvesting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2967,Kavrepalanchowk,Temal,8,lomsal,asandada,27.46529457,85.75923104,jarwo,spring,community,settlement,katar apa bas,active,perennial,,,,,,cemented_tank,seepage,soil/sediment,1,5,2000,30,2,2,same,,,,,good,no_change,yes,"household,drinking,livestock",50,Janajati,50,Janajati,no_change,no,,,yes,bhuddha puja nagpuja gurgapuja,yes,,yes,informal,male,"vice_chair,secretary",yes,"trench-pit,recharge_pond_construction",ajai sudharnu parne
2968,Kavrepalanchowk,Temal,6,Bibire mul -f,Bibire,27.5075767626914,85.7732320463523,Bibire mul -f,spring,public,dense_forest,"Paichal,pitholi,chutro",active,perennial,,,,,,closed_kuwa,flowing,interface between rock and sediment,1,20,1800,120,1,7,decreasing,,,,,good,improved,yes,"drinking,household,livestock",20,Janajati,20,Janajati,Degraded,yes,same,same,no,,yes,,yes,formal,male,treasurer,yes,recharge_pond_construction,
2969,Kavrepalanchowk,Temal,8,lomsal besi,gimaltol,27.46433143,85.75887065,gatte muhan,spring,community,sparse_forest,aru khayar ata,dried,seasonal,2072,Earthquake,no,,"water_lifting,well",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2970,Kavrepalanchowk,Temal,8,lomsaltar,baltol,27.46065073,85.75817646,narpukhola,spring,community,dense_forest,khyer amala siris,active,perennial,,,,,,open_kuwa,flowing,interface between rock and sediment,1,5,3000,1,2,2,same,,,,,excellent,no_change,no,,,,,,no_change,no,,,yes,esnankalagi sansaripuja nagapuja,yes,,yes,informal,male,vice_chair,no,,6bebastit garnuparne
2971,Kavrepalanchowk,Temal,8,lomsal,lomsalbesi,27.46162341,85.76490884,dhokakhola,spring,community,sparse_forest,khiruwo khher  sallo,dried,seasonal,2072,Earthquake,no,,"new_source_identification,water_lifting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2972,Kavrepalanchowk,Temal,8,panthali,panthalitar,27.45965357,85.76487021,padero khola,spring,community,agriculture,khar sallo dude,dried,perennial,2050,natural_disaster,no,,"new_source_identification,boaring,well",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2973,Kavrepalanchowk,Temal,8,panthali,panthalitar,27.4579691,85.76489698,tallokhola,spring,community,agriculture,ata simal kharane,active,perennial,,,,,,cemented_tank,flowing,soil/sediment,1,2,300,5,1,1,same,,,,,excellent,no_change,yes,"agriculture,household,livestock",40,BCTS,40,BCTS,no_change,yes,same,same,no,,yes,,yes,formal,male,vice_chair,yes,"recharge_pond_construction,trench-pit",badko bebasthagarnuparne
2974,Kavrepalanchowk,Temal,4,maure banjyang,gonpo thola,27.53665605,85.76314151,gising thola ko kuwa,spring,public,dense_forest,"banamra,dudilo,ghass",active,perennial,,,,,,open_kuwa,seepage,interface between rock and sediment,1,50,200,35,3,16,decreasing,,,,,poor,degraded,no,,,,,,Improved,no,,,no,,no,basati ko,yes,,,,yes,"plantation,source_protection",
2975,Kavrepalanchowk,Temal,6,Bibire sallyani ,Sallyelani tool,27.5078202657738,85.7737045001249,Bibier mul-g,spring,public,sparse_forest,"Chuttro, tite,timali",active,perennial,,,,,,closed_kuwa,flowing,interface between rock and sediment,1,40,1500,120,1,13,decreasing,,,,,good,improved,yes,"drinking,household,livestock",20,Janajati,20,Janajati,Degraded,yes,same,same,no,,yes,,yes,formal,male,vice_chair,no,,
2976,Kavrepalanchowk,Temal,3,Saramthali,Jimsesha,27.5474566666667,85.7396683333333,Jemsesh khanepani,spring,community,settlement,"Khirla,bhas,tuni",dried,perennial,2072,Earthquake,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2977,Kavrepalanchowk,Temal,6,bibire khola village,Bibire tool,27.5077936112476,85.7738517799398,Bibire salyani  mul,spring,public,sparse_forest,"Utis ,tite",active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,60,800,90,30,20,decreasing,,,,,good,no_change,yes,"drinking,household,livestock",22,Janajati,22,Janajati,Degraded,yes,same,same,no,,yes,,yes,formal,male,secretary,no,,roodle tank pureko x
2978,Kavrepalanchowk,Temal,6,Tekh khoria,Lekh khoria tool,27.5076125075422,85.7745159648117,Thulo parsel khane pani,spring,private,sparse_forest,"Utis, vogate",active,perennial,,,,,,closed_kuwa,seepage,soil/sediment,1,40,1200,120,13,13,same,,,,,excellent,improved,yes,"drinking,household,livestock",40,Janajati,40,Janajati,no_change,yes,same,same,no,,yes,,yes,formal,male,treasurer,yes,recharge_pond_construction,
2979,Kavrepalanchowk,Temal,3,Saramthali,Jimsesh,27.544345,85.7365466666667,Putowan,spring,public,sparse_forest,"Khayera,bomsing,sisnu gari",active,perennial,,,,,,tap,seepage,interface between rock and sediment,1,120,500,30,15,40,decreasing,,,,,good,no_change,yes,drinking,12,Janajati,7,Janajati,Degraded,yes,same,same,no,,yes,,no,,,,yes,source_protection,
2980,Kavrepalanchowk,Temal,1,sarsyukhark,bhandari tol,27.5673233333333,85.7032383333333,bhandari padero,spring,community,sparse_forest,"utis,banmara,aaiselu",dried,perennial,2063,Infrastructure Development,no,,"new_source_identification,rainwater_harvesting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2981,Kavrepalanchowk,Temal,1,sarsyukhark,makhalo tol,27.566485,85.7029216666667,aarjun padero,spring,community,sparse_forest,"laliguras,chilauni,kotmero",active,seasonal,,,,,,closed_kuwa,seepage,soil/sediment,1,600,100,3,20,180,decreasing,,,,,good,no_change,yes,"household,drinking,livestock",12,"BCTS,Janajati",3,BCTS,Degraded,no,,,yes,"panchami nuhauni,dhikuro uthauni",yes,,no,,,,no,,
2982,Kavrepalanchowk,Temal,9,vandari bessi,vandaribesi,27.4508633333333,85.8103566666667,pani kuwa,spring,community,sparse_forest,"bass,khayar,pithauli",dried,perennial,2058,Drought,no,,boaring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2983,Kavrepalanchowk,Temal,1,sarsyukhark,makhalo tol,27.5665316666667,85.7029983333333,arjun padhero tallo,spring,community,grassland,"timila,banmara,kutmero",dried,seasonal,2073,Earthquake,no,,"new_source_identification,rainwater_harvesting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2984,Kavrepalanchowk,Temal,7,Chapakhori,Khudo pokhe dado,27.502695,85.7705183333333,khudo pokje dado mul,spring,public,sparse_forest,"Utis,laliguraj,hadebayar",dried,seasonal,2070,Drought,no,,"new_source_identification,water_lifting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2985,Kavrepalanchowk,Temal,7,Chapakhori,Chapakhori chaur,27.502395,85.7692866666667,chapakhori chaur pokhari,pond,community,sparse_forest,"Simal,utis,salla",active,perennial,,,,,,,,,,,,,,,,360,2.5,300,2,poor,improved,yes,"livestock,agriculture,recreation",35,"BCTS,Janajati,Dalit",25,"Janajati,BCTS",,no,,,no,,yes,,yes,formal,male,secretary,yes,source_protection,Bacha haru paudi khelchhan
2986,Kavrepalanchowk,Temal,3,Saramthali,Jemsesh,27.5444416666667,85.736775,Jemsesh khanepani putowan,spring,public,sparse_forest,"Khayera,bhas,aap",active,perennial,,,,,,cemented_tank,flowing,soil/sediment,1,300,500,20,10,20,decreasing,,,,,good,improved,yes,drinking,28,Janajati,20,Janajati,Degraded,yes,same,same,no,,yes,,no,,,,yes,source_protection,
2987,Kavrepalanchowk,Temal,6,Pakuwal,Jarga tool,27.5059150066996,85.7774170607712,Garga toll djunge dhara,spring,public,sparse_forest,"Siris,khirla,salla",dried,perennial,2072,Earthquake,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2988,Kavrepalanchowk,Temal,1,Sarsyunkharka ,Pokhari pani,27.5709966666667,85.71046,Pokhari pani kuwa ,spring,community,agriculture,"Sisnu,banmara,Timila",active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,300,200,5,2,100,decreasing,,,,,good,degraded,no,,,,,,Degraded,no,,,no,,yes,,no,,,,no,,
2989,Kavrepalanchowk,Temal,1,sarsyukharka ,Pokhari pani,27.5698233333333,85.711615,Sim gairi,spring,community,agriculture,"Uniu, banmara,sal",dried,perennial,2055,natural_disaster,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2990,Kavrepalanchowk,Temal,1,Sarsyunkharka ,Pokharipani,27.570215,85.7121966666667,Simsime ,spring,private,agriculture,"Kutmero,jamun, uniu, banmara",active,perennial,,,,,,open_kuwa,flowing,soil/sediment,1,120,50,2,5,40,decreasing,,,,,good,improved,yes,"drinking,livestock,household,agriculture",10,BCTS,1,BCTS,Improved,no,,,no,,yes,,no,,,,no,,
2991,Kavrepalanchowk,Temal,1,sarsyynkharka ,Pokharipani,27.5698783333333,85.7126883333333,Jaruwa ,spring,private,sparse_forest,"Utis,uniu,jamun",dried,perennial,2060,source_neglected,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2992,Kavrepalanchowk,Temal,1,Sarsyunkharka ,Pokhari pani,27.5702866666667,85.7127233333333,Sim,spring,private,agriculture,"Amba, utis jamun",dried,perennial,2065,source_neglected,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2993,Kavrepalanchowk,Temal,1,Sarsyunkharka,Pokharipani,27.5701416666667,85.7123333333333,Sim khet,spring,private,grassland,"Utis, dursul,siru",dried,seasonal,2067,Drought,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2994,Kavrepalanchowk,Temal,1,Sarsyukharka ,gadahare khola ,27.570705,85.7134533333333,Chhaleshwor mul,spring,public,sparse_forest,"Pan, uniu , Banmara",active,perennial,,,,,,closed_kuwa,flowing,soil/sediment,2,60,400,10,2,10,decreasing,,,,,excellent,improved,yes,"drinking,household,livestock,religious_purpose",25,"BCTS,Janajati",15,Janajati,Degraded,yes,same,same,yes,mahadev sthanma jal chadauna ,yes,,no,,,,no,,
2995,Kavrepalanchowk,Temal,1,Sarsyukharka ,Gadahare khola ,27.5707033333333,85.7134883333333,Thaldada khanepani ,spring,community,fallow,"Banmara, uniu ",active,perennial,,,,,,tap,flowing,soil/sediment,10,120,450,15,1,4,decreasing,,,,,excellent,improved,yes,"drinking,household,religious_purpose,livestock",25,"BCTS,Janajati",10,Janajati,Degraded,yes,same,same,yes,Mahadev sthanma jal chadaune & panchami nuhaune,yes,,yes,informal,male,treasurer,no,,
2996,Kavrepalanchowk,Temal,1,Sarsyukharka ,Dewrali pakha,27.571705,85.715575,Deurali pokhari,pond,community,grassland,"Mauwa, khaniu,pithauli",dried,seasonal,2060,Drought,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2997,Kavrepalanchowk,Temal,3,Kuduwal,Chepte dhunga,27.5338666666667,85.7343516666667,Putwan muhan,spring,private,dense_forest,Utish ninglo banmara,active,perennial,,,,,,open_kuwa,seepage,interface between rock and sediment,1,120,100,1,4,40,decreasing,,,,,good,degraded,yes,drinking,21,Janajati,,,Degraded,yes,same,different,no,,yes,,no,,,,no,,
2998,Kavrepalanchowk,Temal,9,mukpa,raksetol,27.4575516666667,85.8076716666667,rakse kuwa,spring,private,sparse_forest,"jamuna,banmara,pithauli",active,perennial,,,,,,open_kuwa,seepage,rock,2,120,1500,2,2,20,decreasing,,,,,good,improved,yes,"drinking,household,livestock",1,Janajati,1,Janajati,Degraded,no,,,no,,yes,,no,,,,no,,xaina
2999,Kavrepalanchowk,Temal,9,mukpa,raksetol,27.4577233333333,85.8064983333333,rakse khola,spring,community,sparse_forest,"khayar,banmara,pithauli",active,perennial,,,,,,open_kuwa,seepage,rock,1,60,1500,2,1,20,decreasing,,,,,poor,degraded,no,,,,,,Degraded,no,,,no,,yes,,no,,,,no,,
3000,Kavrepalanchowk,Temal,3,Saramthali,Jimsesh,27.54586,85.7373616666667,jemsesh putwan,spring,public,sparse_forest,"Ninggalo,khayera,khirla",dried,perennial,2075,natural_disaster,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3001,Kavrepalanchowk,Temal,6,Dabur khola,Dabur tool,27.5096351861102,85.7741886666293,Galari kunma mul,spring,private,sparse_forest,"Paheli ,mauwa,pitholi",active,perennial,,,,,,closed_kuwa,seepage,rock,1,60,600,60,20,20,same,,,,,excellent,no_change,yes,"drinking,household,livestock",8,Janajati,8,Janajati,no_change,yes,same,same,no,,yes,,no,,,,yes,trench-pit,
3002,Kavrepalanchowk,Temal,9,mukpa,raksetol,27.457875,85.8063633333333,naya kuwa,spring,community,sparse_forest,"khayar,dhubaure,banmara",active,perennial,,,,,,closed_kuwa,seepage,rock,1,20,1400,2,1,7,decreasing,,,,,good,improved,yes,"drinking,household,livestock",15,Mixed,15,Mixed,Degraded,no,,,no,,yes,,no,,,,no,,
3003,Kavrepalanchowk,Temal,3,Saramthali,Jemsesh,27.54584,85.7371183333333,Bhuguldada,spring,public,sparse_forest,"Bhas, ninggalo",active,perennial,,,,,,tap,seepage,soil/sediment,1,40,200,15,11,13,decreasing,,,,,good,improved,yes,drinking,2,Janajati,2,Janajati,Degraded,yes,same,same,no,,yes,,no,,,,yes,source_protection,
3004,Kavrepalanchowk,Temal,9,mukpa,raksetol,27.457395,85.804885,rakse khola,spring,community,sparse_forest,"khayar,pithauli,banmara",dried,perennial,2072,Earthquake,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005,Kavrepalanchowk,Temal,3,Saramthali,Jemsesh,27.5466383333333,85.7366833333333,Naplekhola,spring,public,sparse_forest,"Bhas,ningalo",dried,perennial,2077,Deforestation,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3006,Kavrepalanchowk,Temal,3,Kuduwal,Chepte dhunga,27.533555,85.7347266666667,Khampudada muhan,spring,private,dense_forest,Bhas paiyo banmara,active,perennial,,,,,,open_kuwa,seepage,interface between rock and sediment,1,120,25,20,5,40,decreasing,,,,,good,degraded,yes,drinking,6,Janajati,,,Degraded,yes,same,different,no,,yes,,no,,,,no,,
3007,Kavrepalanchowk,Temal,3,Saramthali,jemsesh,27.5463766666667,85.7356833333333,Jemsesh saura,spring,public,sparse_forest,"Bhas,ninggalo,khayera",active,perennial,,,,,,tap,flowing,interface between rock and sediment,1,7,700,50,2,2,same,,,,,good,improved,yes,livestock,12,Janajati,12,Janajati,no_change,yes,same,same,no,,yes,,no,,,,yes,source_protection,
3008,Kavrepalanchowk,Temal,9,mukpa,chaptol,27.46202,85.80402,newar kuwa,spring,community,sparse_forest,"khayar,bar,pipal",active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,120,500,30,1,40,decreasing,,,,,good,improved,yes,"drinking,household,livestock",7,"Newar,Mixed",5,"Mixed,Newar",Degraded,yes,same,same,no,,yes,,no,,,,no,,
3009,Kavrepalanchowk,Temal,3,Saramthali,jemsesh,27.5466933333333,85.7360816666667,Saura,spring,public,grassland,"Fadim,khayera,khirla",dried,perennial,2072,Earthquake,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3010,Kavrepalanchowk,Temal,3,Saramthali,Jemsesh,27.5465783333333,85.7359216666667,Yebel khola saura,spring,public,grassland,"Ninggalo,khirla, banmara",dried,perennial,2070,Drought,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3011,Kavrepalanchowk,Temal,3,Saramthali,Jemsesh,27.5466433333333,85.7359333333333,jemsesh saura chiplo dhungo,spring,public,agriculture,"Ninggalo,khayera,kimila",dried,perennial,2069,Deforestation,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3012,Kavrepalanchowk,Temal,3,Saramthali,Jemsesh,27.5468166666667,85.735875,Jemsesh bhas muniko  mul,spring,public,sparse_forest,"Ninggalo,khayera,khirla",active,perennial,,,,,,tap,seepage,soil/sediment,1,20,1000,60,5,7,decreasing,,,,,good,improved,yes,drinking,28,Janajati,15,Janajati,Degraded,yes,same,same,no,,yes,,no,,,,yes,source_protection,
3013,Kavrepalanchowk,Temal,8,bhorjyang,wadikhop ,27.4756066666667,85.76709,sisnery,spring,private,sparse_forest,bass khayar,dried,perennial,2070,Drought,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3014,Kavrepalanchowk,Temal,8,kolche,kolche tol,27.47341,85.7691433333333,sadi khola,spring,private,sparse_forest,kali kath,active,perennial,,,,,,open_kuwa,seepage,rock,1,32,100,15,3,10,decreasing,,,,,good,degraded,yes,"drinking,livestock,household,religious_purpose",1,Janajati,1,Janajati,no_change,yes,same,same,no,,yes,,no,,,,no,,brichhyaropan
3015,Kavrepalanchowk,Temal,8,kolche,kolche tol,27.47406,85.7704766666667,shadi khola,spring,community,sparse_forest,jamuna Aap kali kath,active,perennial,,,,,,closed_kuwa,seepage,interface between rock and sediment,1,4,150,25,1,2,decreasing,,,,,excellent,no_change,yes,"drinking,livestock,household,agriculture,religious_purpose",24,"Janajati,Dalit",4,Janajati,no_change,yes,same,same,no,,yes,,no,,,,no,,brichhyaropan
3016,Kavrepalanchowk,Temal,8,lumsal,mane tol ,27.4717516666667,85.7733733333334,tinang khola,spring,private,dense_forest,bass farim khaniu,active,perennial,,,,,,closed_kuwa,flowing,interface between rock and sediment,1,2,200,30,2,3,decreasing,,,,,good,no_change,no,,,,,,no_change,yes,same,same,no,,yes,,no,,,,no,,brikchhyaropan
3017,Kavrepalanchowk,Temal,8,lumsal,kolche tol,27.4727,85.7750666666667,tinang khola,spring,private,sparse_forest,tuni gogan koirala ,active,perennial,,,,,,closed_kuwa,flowing,interface between rock and sediment,1,4,200,20,1,2,decreasing,,,,,good,no_change,yes,"drinking,livestock,household,agriculture,religious_purpose",10,Janajati,10,Janajati,no_change,yes,same,same,no,,yes,,yes,formal,male,treasurer,no,,brikchhyaropan
3018,Kavrepalanchowk,Temal,8,lumsal,kolche,27.4729966666667,85.7755833333333,tinang khola,spring,private,dense_forest,jamuna sirish kalikath,active,perennial,,,,,,closed_kuwa,seepage,interface between rock and sediment,1,12,300,30,2,4,decreasing,,,,,excellent,no_change,yes,"drinking,livestock,religious_purpose,household",10,Janajati,10,Janajati,no_change,yes,same,same,no,,yes,,yes,formal,male,vice_chair,no,,rukha nakatni
3019,Kavrepalanchowk,Temal,8,lumsal,puchhar tol,27.47228,85.7764533333333,gyang khola,spring,community,dense_forest,bass lakuri kalikatha,active,perennial,,,,,,tap,seepage,interface between rock and sediment,1,15,200,30,2,5,decreasing,,,,,good,no_change,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,rukha sukni samasya
